trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_541173_b_27473_tn_4,08:59:19,08:59:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,09:03:00,09:03:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,09:05:39,09:05:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,09:08:00,09:08:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:37:00,09:37:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:39:03,09:39:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:40:06,09:40:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:43:00,09:43:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:47:19,09:47:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:51:00,09:51:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:53:39,09:53:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_5,09:56:00,09:56:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:25:00,10:25:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:27:03,10:27:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:28:06,10:28:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:31:00,10:31:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:35:19,10:35:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:39:00,10:39:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:41:39,10:41:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_6,10:44:00,10:44:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:13:00,11:13:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:15:03,11:15:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:16:06,11:16:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:19:00,11:19:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:23:19,11:23:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:27:00,11:27:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:29:39,11:29:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_7,11:32:00,11:32:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:01:00,12:01:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:03:03,12:03:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:04:06,12:04:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_8,12:07:00,12:07:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
