stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Sheriff's Dept (S Main St opposite Office St)_Sheriff's Dept (S Main St opposite Office St)_39.535957_-76.348767,,Sheriff's Dept (S Main St opposite Office St),,39.535957,-76.348767,,0,,,
Bel Air Library (100 E Pennsylvania Ave)_Bel Air Library (100 E Pennsylvania Ave)_39.537574_-76.348117,,Bel Air Library (100 E Pennsylvania Ave),,39.537574,-76.348117,,0,,,
Historical Society (Gordon St & Main St)_Historical Society (Gordon St & Main St)_39.538453_-76.352658,,Historical Society (Gordon St & Main St),,39.538453,-76.352658,,0,,,
Harford Village South (800 Candlelight Dr)_Harford Village South (800 Candlelight Dr)_39.548067_-76.351781,,Harford Village South (800 Candlelight Dr),,39.548067,-76.351781,,0,,,
Hickory Hills (Donzen Dr & Ma & Pa Rd)_Hickory Hills (Donzen Dr & Ma & Pa Rd)_39.545651_-76.355628,,Hickory Hills (Donzen Dr & Ma & Pa Rd),,39.545651,-76.355628,,0,,,
Hickory Hills (Donzen Dr & Crocker Dr)_Hickory Hills (Donzen Dr & Crocker Dr)_39.545283_-76.350378,,Hickory Hills (Donzen Dr & Crocker Dr),,39.545283,-76.350378,,0,,,
ShopRite (Bel Air/Main St & Broadway)_ShopRite (Bel Air/Main St & Broadway)_39.539287_-76.354644,,ShopRite (Bel Air/Main St & Broadway),,39.539287,-76.354644,,0,,,
Dollar Tree (602C Boulton St)_Dollar Tree (602C Boulton St)_39.527686_-76.359824,,Dollar Tree (602C Boulton St),,39.527686,-76.359824,,0,,,
Near Post Office (Blum Ct/rear of Office Depot)_Near Post Office (Blum Ct/rear of Office Depot)_39.527442_-76.360946,,Near Post Office (Blum Ct/rear of Office Depot),,39.527442,-76.360946,,0,,,
Legacy at Gateway (Gateway Dr cul-de-sac)_Legacy at Gateway (Gateway Dr cul-de-sac)_39.529704_-76.362938,,Legacy at Gateway (Gateway Dr cul-de-sac),,39.529704,-76.362938,,0,,,
English Country Manor (600 Squire Ln)_English Country Manor (600 Squire Ln)_39.525867_-76.363651,,English Country Manor (600 Squire Ln),,39.525867,-76.363651,,0,,,
Harford  Senior Housing (300 Sunflower Dr)_Harford  Senior Housing (300 Sunflower Dr)_39.521182_-76.357436,,Harford  Senior Housing (300 Sunflower Dr),,39.521182,-76.357436,,0,,,
Tollgate Marketplace Center (680 Marketplace Dr)_Tollgate Marketplace Center (680 Marketplace Dr)_39.522779_-76.351933,,Tollgate Marketplace Center (680 Marketplace Dr),,39.522779,-76.351933,,0,,,
Target (580 Marketplace Dr)_Target (580 Marketplace Dr)_39.525354_-76.348974,,Target (580 Marketplace Dr),,39.525354,-76.348974,,0,,,
Park View at Bel Air (555 S Atwood Rd)_Park View at Bel Air (555 S Atwood Rd)_39.527026_-76.348278,,Park View at Bel Air (555 S Atwood Rd),,39.527026,-76.348278,,0,,,
Atwood Professional Building (602 S Atwood Rd)_Atwood Professional Building (602 S Atwood Rd)_39.525448_-76.346807,,Atwood Professional Building (602 S Atwood Rd),,39.525448,-76.346807,,0,,,
McFaul Activities Center (525 W MacPhail Rd)_McFaul Activities Center (525 W MacPhail Rd)_39.522902_-76.344527,,McFaul Activities Center (525 W MacPhail Rd),,39.522902,-76.344527,,0,,,
Motor Vehicle Administration (501 W MacPhail Rd)_Motor Vehicle Administration (501 W MacPhail Rd)_39.522167_-76.345388,,Motor Vehicle Administration (501 W MacPhail Rd),,39.522167,-76.345388,,0,,,
2769972,,Edgewater Village Shopping Ctr/1807 Pulaski Hwy/stop is on US 40),,39.434331,-76.317193,,0,,,
2769973,,Edgewood Train Station,,39.4161425404289,-76.292916604603,,0,,,
