route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id
RED,74,3238741_18359,"GLENMONT",0,,5,3238741
RED,74,3238742_18359,"GLENMONT",0,,5,3238742
RED,74,3238744_18359,"GLENMONT",0,,5,3238744
RED,74,3239134_18359,"GLENMONT",0,,5,3239134
RED,74,3238749_18359,"GLENMONT",0,,5,3238749
RED,74,3238762_18359,"GLENMONT",0,,5,3238762
RED,74,3239138_18359,"GLENMONT",0,,5,3239138
RED,74,3238775_18359,"GLENMONT",0,,5,3238775
RED,74,3239144_18359,"GLENMONT",0,,5,3239144
RED,74,3238798_18359,"GLENMONT",0,,5,3238798
RED,74,3238817_18359,"GLENMONT",0,,5,3238817
RED,74,3239148_18359,"GLENMONT",0,,5,3239148
RED,74,3238835_18359,"GLENMONT",0,,5,3238835
RED,74,3238863_18359,"GLENMONT",0,,5,3238863
RED,74,3239155_18359,"GLENMONT",0,,5,3239155
RED,74,3238880_18359,"GLENMONT",0,,5,3238880
RED,74,3238893_18359,"GLENMONT",0,,5,3238893
RED,74,3238908_18359,"GLENMONT",0,,5,3238908
RED,74,3239089_18359,"GLENMONT",0,,5,3239089
RED,74,3238923_18359,"GLENMONT",0,,5,3238923
RED,74,3239105_18359,"GLENMONT",0,,5,3239105
RED,74,3238941_18359,"GLENMONT",0,,5,3238941
RED,74,3238938_18359,"GLENMONT",0,,5,3238938
RED,74,3238963_18359,"GLENMONT",0,,5,3238963
RED,74,3239106_18359,"GLENMONT",0,,5,3239106
RED,74,3238973_18359,"GLENMONT",0,,5,3238973
RED,74,3238991_18359,"GLENMONT",0,,5,3238991
RED,74,3239116_18359,"GLENMONT",0,,5,3239116
RED,74,3239004_18359,"GLENMONT",0,,5,3239004
RED,74,3239034_18359,"GLENMONT",0,,5,3239034
RED,74,3239119_18359,"GLENMONT",0,,5,3239119
RED,74,3239036_18359,"GLENMONT",0,,5,3239036
RED,74,3239038_18359,"GLENMONT",0,,5,3239038
RED,74,3239124_18359,"GLENMONT",0,,5,3239124
RED,74,3239067_18359,"GLENMONT",0,,5,3239067
RED,74,3239071_18359,"GLENMONT",0,,5,3239071
RED,74,3239128_18359,"GLENMONT",0,,5,3239128
RED,74,3239093_18359,"GLENMONT",0,,5,3239093
RED,74,3238751_18359,"GLENMONT",0,,5,3238751
RED,74,3238754_18359,"GLENMONT",0,,5,3238754
RED,74,3238753_18359,"GLENMONT",0,,5,3238753
RED,74,3238750_18359,"GLENMONT",0,,5,3238750
RED,74,3238760_18359,"GLENMONT",0,,5,3238760
RED,74,3238774_18359,"GLENMONT",0,,5,3238774
RED,74,3238797_18359,"GLENMONT",0,,5,3238797
RED,74,3238824_18359,"GLENMONT",0,,5,3238824
RED,74,3238832_18359,"GLENMONT",0,,5,3238832
RED,74,3238868_18359,"GLENMONT",0,,5,3238868
RED,74,3238877_18359,"GLENMONT",0,,5,3238877
RED,74,3238900_18359,"GLENMONT",0,,5,3238900
RED,74,3238904_18359,"GLENMONT",0,,5,3238904
RED,74,3238928_18359,"GLENMONT",0,,5,3238928
RED,74,3238934_18359,"GLENMONT",0,,5,3238934
RED,74,3238952_18359,"GLENMONT",0,,5,3238952
RED,74,3238959_18359,"GLENMONT",0,,5,3238959
RED,74,3238980_18359,"GLENMONT",0,,5,3238980
RED,74,3238986_18359,"GLENMONT",0,,5,3238986
RED,74,3239010_18359,"GLENMONT",0,,5,3239010
RED,74,3239016_18359,"GLENMONT",0,,5,3239016
RED,74,3239047_18359,"GLENMONT",0,,5,3239047
RED,74,3239017_18359,"GLENMONT",0,,5,3239017
RED,74,3239077_18359,"GLENMONT",0,,5,3239077
RED,74,3239060_18359,"GLENMONT",0,,5,3239060
RED,74,3239100_18359,"GLENMONT",0,,5,3239100
RED,74,3238761_18359,"GLENMONT",0,,5,3238761
RED,74,3238765_18359,"GLENMONT",0,,5,3238765
RED,74,3238769_18359,"GLENMONT",0,,5,3238769
RED,74,3238770_18359,"GLENMONT",0,,5,3238770
RED,74,3238768_18359,"GLENMONT",0,,5,3238768
RED,74,3238779_18359,"GLENMONT",0,,5,3238779
RED,74,3238796_18359,"GLENMONT",0,,5,3238796
RED,74,3238821_18359,"GLENMONT",0,,5,3238821
RED,74,3238831_18359,"GLENMONT",0,,5,3238831
RED,74,3238867_18359,"GLENMONT",0,,5,3238867
RED,74,3238876_18359,"GLENMONT",0,,5,3238876
RED,74,3238899_18359,"GLENMONT",0,,5,3238899
RED,74,3238903_18359,"GLENMONT",0,,5,3238903
RED,74,3238927_18359,"GLENMONT",0,,5,3238927
RED,74,3238932_18359,"GLENMONT",0,,5,3238932
RED,74,3238953_18359,"GLENMONT",0,,5,3238953
RED,74,3238960_18359,"GLENMONT",0,,5,3238960
RED,74,3238979_18359,"GLENMONT",0,,5,3238979
RED,74,3238987_18359,"GLENMONT",0,,5,3238987
RED,74,3239009_18359,"GLENMONT",0,,5,3239009
RED,74,3239019_18359,"GLENMONT",0,,5,3239019
RED,74,3239042_18359,"GLENMONT",0,,5,3239042
RED,74,3239018_18359,"GLENMONT",0,,5,3239018
RED,74,3239078_18359,"GLENMONT",0,,5,3239078
RED,74,3239061_18359,"GLENMONT",0,,5,3239061
RED,74,3239099_18359,"GLENMONT",0,,5,3239099
RED,74,3238783_18359,"GLENMONT",0,,5,3238783
RED,74,3238784_18359,"GLENMONT",0,,5,3238784
RED,74,3238785_18359,"GLENMONT",0,,5,3238785
RED,74,3238787_18359,"GLENMONT",0,,5,3238787
RED,74,3238786_18359,"GLENMONT",0,,5,3238786
RED,74,3238788_18359,"GLENMONT",0,,5,3238788
RED,74,3238799_18359,"GLENMONT",0,,5,3238799
