stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
864,20864,CEDAR LN & SAUL RD,CEDAR LA & SAUL RD,39.016979,-77.087814,,,,,,2
866,20866,CEDAR LN & DELMONT LN,,39.015318,-77.088981,,,,,,2
868,20868,CEDAR LN & PARKWOOD DR,,39.012887,-77.09076,,,,,,2
872,20872,CEDAR LN & PARKHILL DR,,39.010551,-77.091577,,,,,,2
874,20874,CEDAR LN & ELMHIRST PKWY,,39.008187,-77.094445,,,,,,2
882,20882,CEDAR ST & PERSHING DR,,38.998047,-77.022842,,,,,,2
884,20884,CEDAR ST & PERSHING DR,,38.997896,-77.022873,,,,,,2
888,20888,W CEDAR LN & OLD GEORGETOWN RD,,39.004495,-77.110055,,,,,,2
890,20890,W CEDAR LN & WEST DR,,39.005336,-77.104237,,,,,,2
892,20892,W CEDAR LN & GARDEN LN,,39.005671,-77.100289,,,,,,2
898,20898,W CEDAR LN & ZELKOVA LN,,39.005473,-77.102269,,,,,,2
902,20902,CENTERWAY RD & MONTGOMERY VILLAGE AVE,,39.172493,-77.202972,,,,,,2
904,20904,CENTERWAY RD & CLUB HOUSE RD,,39.172438,-77.201826,,,,,,2
906,20906,CENTERWAY RD & ROMAN WAY,,39.172058,-77.20005,,,,,,2
908,20908,CENTERWAY RD & THOMAS FARM DR,,39.171209,-77.19839,,,,,,2
910,20910,CENTERWAY RD & BROOKE GROVE CT,,39.170658,-77.19709,,,,,,2
912,20912,CENTERWAY RD & RHODES WAY,,39.170042,-77.195505,,,,,,2
914,20914,CENTERWAY RD & WHETSTONE DR,,39.169377,-77.193259,,,,,,2
916,20916,CENTERWAY RD & GOSHEN RD,,39.169189,-77.189888,,,,,,2
918,20918,CENTERWAY RD & @9100/9178,,39.169243,-77.188721,,,,,,2
920,20920,CENTERWAY RD & COURT 4,,39.169785,-77.18538,,,,,,2
922,20922,CENTERWAY RD & BLUE HERON LN,,39.169373,-77.183105,,,,,,2
924,20924,CENTERWAY RD & MARSH HAWK LN,,39.169816,-77.180711,,,,,,2
926,20926,CENTERWAY RD & STRAWBERRY KNOLL RD,,39.16997,-77.179305,,,,,,2
928,20928,CENTERWAY RD & SNOUFFER SCHOOL RD,,39.169945,-77.177133,,,,,,2
930,20930,CENTERWAY RD & STAWBERRY KNOLL RD,,39.170006,-77.178688,,,,,,2
932,20932,CENTERWAY RD & MARSH HAWK LN,,39.169917,-77.180917,,,,,,2
934,20934,CENTERWAY RD & KINGLET PL,,39.16965,-77.18271,,,,,,2
936,20936,CENTERWAY RD & COURT 3,,39.169989,-77.185675,,,,,,2
938,20938,CENTERWAY RD & COURT 1,,39.169671,-77.187857,,,,,,2
940,20940,CENTERWAY RD & GOSHEN RD,,39.169464,-77.190419,,,,,,2
942,20942,CENTERWAY RD & BROADWATER DR,,39.169552,-77.193398,,,,,,2
944,20944,CENTERWAY RD & RHODES WAY,,39.170166,-77.195386,,,,,,2
946,20946,CENTERWAY RD & THOMAS FARM DR,,39.171242,-77.198059,,,,,,2
948,20948,CENTERWAY RD & CLUB HOUSE RD,,39.172586,-77.201241,,,,,,2
950,20950,CENTURY BLVD & CENTURY XXII OFFICE COMPLEX,,39.18615,-77.259597,,,,,,2
952,20952,CENTURY BLVD & @20251 NORTH DRWY,,39.188568,-77.26162,,,,,,2
954,20954,CENTURY BLVD & @20250 NORTH DRWY,,39.188815,-77.262092,,,,,,2
956,20956,CENTURY BLVD & CENTURY XXII OFFICE COMPLEX,,39.186455,-77.260098,,,,,,2
958,20958,CESSNA AVE & CESSNA DR,,39.172615,-77.162224,,,,,,2
960,20960,CESSNA AVE & AIRPARK RD,,39.171002,-77.159789,,,,,,2
